Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
650,3,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',71,6,69,552 
650,4,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',128,36,128,131 
650,5,'[*:1]~[#8!R4:2]~[*:3]~[*:4]',0,0,'t0003',360,42,123,156 
650,6,'[#8X2:1]~[*:2]~[*:3]~[*:4]',0,0,'t0012',558,42,307,307 
651,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',1058,42,574,574 
651,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'NONE',0,0,0,0 
651,3,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',71,6,69,552 
651,4,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',128,36,128,131 
651,5,'[*:1]~[#8!R4:2]~[*:3]~[*:4]',0,0,'t0003',360,42,123,156 
651,6,'[#8X2:1]~[*:2]~[*:3]~[*:4]',0,0,'t0012',558,42,307,307 
652,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',1058,42,574,574 
652,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'NONE',0,0,0,0 
652,3,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',71,6,69,552 
652,4,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',128,36,128,131 
652,5,'[*:1]~[#8!R4:2]~[*:3]~[*:4]',0,0,'t0003',360,42,123,156 
652,6,'[#8X2:1]~[*:2]~[*:3]~[*:4]',0,0,'t0012',548,42,307,307 
652,7,'[#6r5;X4:1]~[*:2]~[*:3]~[$ewg1&R:4]',0,0,'t0001',10,5,6,146 
653,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',1058,42,574,574 
653,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'NONE',0,0,0,0 
653,3,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',71,6,69,552 
653,4,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',128,36,128,131 
653,5,'[*:1]~[#8!R4:2]~[*:3]~[*:4]',0,0,'t0003',360,42,123,156 
653,6,'[#8X2:1]~[*:2]~[*:3]~[*:4]',0,0,'t0012',548,42,307,307 
653,7,'[#6r5;X4:1]~[*:2]~[*:3]~[$ewg1&R:4]',0,0,'t0001',10,5,6,146 
654,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',1058,42,574,574 
654,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'NONE',0,0,0,0 
654,3,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',56,6,54,552 
654,4,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',118,34,118,131 
654,5,'[*:1]~[#8!R4:2]~[*:3]~[*:4]',0,0,'t0003',346,42,115,156 
654,6,'[#8X2:1]~[*:2]~[*:3]~[*:4]',0,0,'t0012',548,42,307,307 
654,7,'[#6r5;X4:1]~[*:2]~[*:3]~[$ewg1&R:4]',0,0,'t0001',4,3,2,146 
654,8,'[#6r5;X4:1]~[*:2]~[*:3](-[$ewg1&!R2])~[*:4]',0,0,'t0008',45,8,6,66 
