Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
36,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
36,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
37,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
37,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
37,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
38,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
38,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
38,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
39,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
39,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
39,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
40,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
40,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
40,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
41,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
41,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
41,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
42,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
42,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
42,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
43,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
43,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
43,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
44,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
44,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
44,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
45,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
45,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
45,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
46,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
46,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
46,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
47,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
47,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
47,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
48,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
48,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
48,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
49,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
49,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
49,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
50,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
50,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
50,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
51,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
51,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
51,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
52,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
52,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
52,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
53,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
53,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
53,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
54,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
54,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
54,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
55,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
55,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
55,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
56,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
56,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
56,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
57,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
57,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
57,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
58,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
58,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
58,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
59,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
