Iteration,Index,Smarts,Typename,ParentSMARTS,RefType,Matches,Molecules,FractionMatched,Denominator
44,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
44,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
44,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
44,-1,'total','all','None','all',803,42,767,803 
45,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
45,2,'[#6]','c_carbon','None','CT',232,42,232,232 
45,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
45,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
45,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
45,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
45,-1,'total','all','None','all',803,42,767,803 
46,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
46,2,'[#6]','c_carbon','None','CT',232,42,232,232 
46,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
46,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
46,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
46,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
46,-1,'total','all','None','all',803,42,767,803 
47,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
47,2,'[#6]','c_carbon','None','CT',232,42,232,232 
47,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
47,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
47,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
